ncpus,refine,calculate indicators,weighting factor,nconstraints,solve,weighting exponent,flag adaptation,estimated error,ndofs,H1 error,iterations,stem,relative L2 error,walltime,tolerance,L2 error,rhs L2 norm,full cycle,compute errors,setup,estimate error,cycle,flag p,calculate transformation matrices,assembly,ncells
48,3.37851,0.71871,100000,3976723,310.885,1.8999999999999999,0.137207,0.00023621,50736415,0.000120162,260,corner-2d-strong10,4.20005e-13,344.287,4.27387e-10,1.04917e-08,427.387,340.52,3.04877,5.98264,2.55241,0,0.208165,0.0580141,13.3859,4685514
96,2.25033,0.548018,100000,4004009,157.432,1.8999999999999999,0.107096,0.00023621,50736415,0.000120162,260,corner-2d-strong10,2.9615e-13,176.444,4.27387e-10,1.04621e-08,427.387,174.205,1.67628,3.14609,1.44726,0,0.159074,0.0582939,7.27686,4685514
192,1.41689,0.326647,100000,4038529,80.6517,1.8999999999999999,0.0610363,0.00023621,50736415,0.000120162,259,corner-2d-strong10,2.0933e-13,93.9701,4.27387e-10,1.04581e-08,427.387,89.8079,0.920819,1.7034,0.782089,0,0.0901479,0.0591129,3.72474,4685514
384,0.883043,0.2198,100000,4094720,42.4914,1.8999999999999999,0.0505804,0.00023621,50736415,0.000120162,260,corner-2d-strong10,1.4805e-13,54.5392,4.27387e-10,1.04603e-08,427.387,47.8345,0.582363,0.971431,0.518044,0,0.0664498,0.0596129,1.9509,4685514
768,0.475624,0.121094,100000,4175740,26.067,1.8999999999999999,0.0495445,0.00023621,50736415,0.000120162,263,corner-2d-strong10,1.04724e-13,42.3366,4.27387e-10,1.0464e-08,427.387,29.0251,0.319144,0.536189,0.298218,0,0.041694,0.0597038,1.03854,4685514
1536,0.3441,0.0636595,100000,4301192,31.1167,1.8999999999999999,0.0724314,0.00023621,50736415,0.000120162,266,corner-2d-strong10,7.41125e-14,60.1784,4.27387e-10,1.04727e-08,427.387,32.8718,0.166041,0.308343,0.157609,0,0.0558529,0.0598145,0.554149,4685514
3072,0.327711,0.0360322,100000,4474725,11.8201,1.8999999999999999,0.166329,0.00023621,50736415,0.000120162,278,corner-2d-strong10,5.24191e-14,72.0428,4.27387e-10,1.04755e-08,427.387,13.5351,0.0915378,0.44815,0.0950507,0,0.138553,0.0599008,0.283408,4685514
6144,0.280752,0.0195276,100000,4725405,10.4146,1.8999999999999999,0.362582,0.00023621,50736415,0.000120162,284,corner-2d-strong10,3.70511e-14,106.239,4.27387e-10,1.04713e-08,427.387,11.0894,0.0465008,0.478568,0.0501111,0,0.327074,0.0599424,0.15094,4685514
