ncpus,refine,tolerance,rhs L2 norm,weighting exponent,L2 error,relative L2 error,weighting factor,estimated error,H1 error,ncells,calculate transformation matrices,ndofs,nconstraints,stem,iterations,full cycle,flag adaptation,cycle,compute errors,assembly,calculate indicators,estimate error,solve,flag p,walltime,setup
48,3.37851,4.27387e-10,427.387,1.8999999999999999,1.04917e-08,4.20005e-13,100000,0.00023621,0.000120162,4685514,0.0580141,50736415,3976723,corner-2d-strong10,260,340.52,0.137207,0,3.04877,13.3859,0.71871,2.55241,310.885,0.208165,344.287,5.98264
96,2.25033,4.27387e-10,427.387,1.8999999999999999,1.04621e-08,2.9615e-13,100000,0.00023621,0.000120162,4685514,0.0582939,50736415,4004009,corner-2d-strong10,260,174.205,0.107096,0,1.67628,7.27686,0.548018,1.44726,157.432,0.159074,176.444,3.14609
192,1.41689,4.27387e-10,427.387,1.8999999999999999,1.04581e-08,2.0933e-13,100000,0.00023621,0.000120162,4685514,0.0591129,50736415,4038529,corner-2d-strong10,259,89.8079,0.0610363,0,0.920819,3.72474,0.326647,0.782089,80.6517,0.0901479,93.9701,1.7034
384,0.883043,4.27387e-10,427.387,1.8999999999999999,1.04603e-08,1.4805e-13,100000,0.00023621,0.000120162,4685514,0.0596129,50736415,4094720,corner-2d-strong10,260,47.8345,0.0505804,0,0.582363,1.9509,0.2198,0.518044,42.4914,0.0664498,54.5392,0.971431
768,0.475624,4.27387e-10,427.387,1.8999999999999999,1.0464e-08,1.04724e-13,100000,0.00023621,0.000120162,4685514,0.0597038,50736415,4175740,corner-2d-strong10,263,29.0251,0.0495445,0,0.319144,1.03854,0.121094,0.298218,26.067,0.041694,42.3366,0.536189
1536,0.3441,4.27387e-10,427.387,1.8999999999999999,1.04727e-08,7.41125e-14,100000,0.00023621,0.000120162,4685514,0.0598145,50736415,4301192,corner-2d-strong10,266,32.8718,0.0724314,0,0.166041,0.554149,0.0636595,0.157609,31.1167,0.0558529,60.1784,0.308343
3072,0.327711,4.27387e-10,427.387,1.8999999999999999,1.04755e-08,5.24191e-14,100000,0.00023621,0.000120162,4685514,0.0599008,50736415,4474725,corner-2d-strong10,278,13.5351,0.166329,0,0.0915378,0.283408,0.0360322,0.0950507,11.8201,0.138553,72.0428,0.44815
6144,0.280752,4.27387e-10,427.387,1.8999999999999999,1.04713e-08,3.70511e-14,100000,0.00023621,0.000120162,4685514,0.0599424,50736415,4725405,corner-2d-strong10,284,11.0894,0.362582,0,0.0465008,0.15094,0.0195276,0.0501111,10.4146,0.327074,106.239,0.478568
