ncpus,ncells,nconstraints,estimate error,full cycle,cycle,tolerance,stem,weighting factor,ndofs,solve,estimated error,walltime,L2 error,flag p,calculate indicators,calculate transformation matrices,H1 error,refine,assembly,relative L2 error,setup,weighting exponent,compute errors,rhs L2 norm,flag adaptation,iterations
768,75255546,114859295,7.77816,579.421,0,1.05711e-09,corner-2d-strong12,100000,969257276,504.955,9.374e-05,599.772,1.61187e-09,0.367266,1.24299,0.0596079,4.76865e-05,15.3169,27.6532,2.78007e-15,12.4572,1.8999999999999999,8.21634,1057.11,0.608663,261
1536,75255546,115682068,4.52785,325.903,0,1.05711e-09,corner-2d-strong12,100000,969257276,286.048,9.374e-05,356.5,1.56641e-09,0.312081,0.853645,0.0600052,4.76865e-05,8.31036,13.91,1.91037e-15,6.67469,1.8999999999999999,4.34019,1057.11,0.421903,268
3072,75255546,116816627,2.2046,172.833,0,1.05711e-09,corner-2d-strong12,100000,969257276,150.612,9.374e-05,235.325,1.62633e-09,0.294859,0.529323,0.0600887,4.76865e-05,5.25646,7.01018,1.4025e-15,3.78005,1.8999999999999999,2.37823,1057.11,0.389073,279
6144,75255546,118406869,1.12156,102.092,0,1.05711e-09,corner-2d-strong12,100000,969257276,86.1825,9.374e-05,214.809,1.62972e-09,0.450929,0.361624,0.0602967,4.76865e-05,2.89804,3.55699,9.93789e-16,2.23215,1.8999999999999999,1.18085,1057.11,0.4965,285
12288,75255546,120735591,0.571431,63.8553,0,1.05711e-09,corner-2d-strong12,100000,969257276,55.3241,9.374e-05,234.041,1.67673e-09,0.783167,0.211497,0.0605523,4.76865e-05,1.69229,1.80676,7.22984e-16,1.49386,1.8999999999999999,0.648938,1057.11,0.859388,307
