ncpus,H1 error,refine,ndofs,calculate indicators,setup,walltime,full cycle,weighting factor,nconstraints,flag adaptation,calculate transformation matrices,cycle,solve,compute errors,relative L2 error,ncells,tolerance,stem,flag p,estimate error,weighting exponent,assembly,L2 error,iterations,rhs L2 norm,estimated error
768,4.76865e-05,15.3169,969257276,1.24299,12.4572,599.772,579.421,100000,114859295,0.608663,0.0596079,0,504.955,8.21634,2.78007e-15,75255546,1.05711e-09,corner-2d-strong12,0.367266,7.77816,1.8999999999999999,27.6532,1.61187e-09,261,1057.11,9.374e-05
1536,4.76865e-05,8.31036,969257276,0.853645,6.67469,356.5,325.903,100000,115682068,0.421903,0.0600052,0,286.048,4.34019,1.91037e-15,75255546,1.05711e-09,corner-2d-strong12,0.312081,4.52785,1.8999999999999999,13.91,1.56641e-09,268,1057.11,9.374e-05
3072,4.76865e-05,5.25646,969257276,0.529323,3.78005,235.325,172.833,100000,116816627,0.389073,0.0600887,0,150.612,2.37823,1.4025e-15,75255546,1.05711e-09,corner-2d-strong12,0.294859,2.2046,1.8999999999999999,7.01018,1.62633e-09,279,1057.11,9.374e-05
6144,4.76865e-05,2.89804,969257276,0.361624,2.23215,214.809,102.092,100000,118406869,0.4965,0.0602967,0,86.1825,1.18085,9.93789e-16,75255546,1.05711e-09,corner-2d-strong12,0.450929,1.12156,1.8999999999999999,3.55699,1.62972e-09,285,1057.11,9.374e-05
12288,4.76865e-05,1.69229,969257276,0.211497,1.49386,234.041,63.8553,100000,120735591,0.859388,0.0605523,0,55.3241,0.648938,7.22984e-16,75255546,1.05711e-09,corner-2d-strong12,0.783167,0.571431,1.8999999999999999,1.80676,1.67673e-09,307,1057.11,9.374e-05
24576,4.76865e-05,1.00708,969257276,0.106597,3.3228,489.931,58.464,100000,124082103,1.84319,0.0660106,0,47.7614,0.340789,5.08342e-16,75255546,1.05711e-09,corner-2d-strong12,1.71953,0.304862,1.8999999999999999,1.63315,1.66727e-09,362,1057.11,9.374e-05
49152,4.76865e-05,0.750637,969257276,0.0691905,10.0406,1097.55,331.043,100000,128964487,3.65471,0.0667761,0,308.459,0.182308,3.61655e-16,75255546,1.05711e-09,corner-2d-strong12,3.7416,0.190766,1.8999999999999999,3.3108,1.67749e-09,395,1057.11,9.374e-05
